cuisine,id
irish,18009
southern_us,28583
italian,41580
cajun_creole,29752
italian,35687
southern_us,38527
irish,19666
chinese,41217
mexican,28753
british,22659
italian,21749
southern_us,44967
indian,42969
italian,44883
southern_us,20827
french,23196
southern_us,35387
southern_us,33780
mexican,19001
southern_us,16526
japanese,42455
indian,47453
italian,42478
vietnamese,11885
italian,16585
french,29639
thai,26245
korean,38516
italian,47520
southern_us,26212
mexican,23696
thai,14926
italian,13292
japanese,27346
chinese,1384
mexican,15959
russian,42297
indian,46235
indian,21181
cajun_creole,9809
cajun_creole,22982
chinese,23120
italian,26743
mexican,12741
italian,7050
italian,22437
spanish,14760
british,10649
vietnamese,48065
chinese,39931
french,32935
thai,40142
indian,19103
italian,38267
italian,30512
chinese,3324
italian,26197
japanese,384
chinese,47230
chinese,39748
french,41038
mexican,24878
filipino,42624
korean,45706
mexican,8874
cajun_creole,23878
indian,47234
thai,24075
italian,46323
italian,22562
french,11358
indian,9201
cajun_creole,38620
southern_us,47638
indian,21238
japanese,11053
indian,46602
mexican,13937
southern_us,21876
french,20798
chinese,24381
italian,48178
italian,45832
korean,27560
southern_us,23247
southern_us,28975
greek,43230
italian,9126
cajun_creole,13021
chinese,28194
indian,25617
italian,36125
mexican,16454
chinese,1607
mexican,38526
indian,18755
french,12035
greek,16047
italian,15419
indian,16971
filipino,31459
cajun_creole,27888
italian,13900
thai,12376
korean,1658
mexican,29431
italian,22290
italian,28464
korean,37953
chinese,20814
mexican,35987
italian,2329
filipino,43237
french,30647
italian,16675
indian,37722
chinese,32438
thai,20287
indian,43296
greek,6237
japanese,48560
mexican,20810
french,34951
japanese,31850
southern_us,47745
mexican,37815
italian,9872
italian,5592
vietnamese,27411
irish,39320
japanese,40247
mexican,19792
italian,40754
mexican,14365
southern_us,14468
mexican,47563
italian,19611
mexican,7163
irish,43069
chinese,27505
chinese,36500
southern_us,25932
italian,817
french,8471
southern_us,48250
cajun_creole,9413
cajun_creole,12097
cajun_creole,8416
italian,5892
southern_us,676
chinese,47015
mexican,21891
italian,14630
italian,36195
mexican,25981
indian,39964
indian,28298
italian,31954
mexican,26620
southern_us,14932
mexican,47426
italian,1038
southern_us,8077
southern_us,37141
french,45447
mexican,9624
british,45589
italian,7265
southern_us,31844
italian,13046
italian,9867
italian,29184
